OBJECTID,SCH_GUID,COUNTYCODE,COUNTY,DIST_CODE,DIST_NAME,SCHOOLCODE,SCHOOLTYPE,SCHOOL,SCHOOLNAME,X,Y,SOURCE
2149,c967fb17-4743-4cdb-8a72-e754ef27a59f,25,MONMOUTH,2720,Little Silver Boro School District,50,ELEMENTARY SCHOOL,Markham Place School,Markham Place Elementary School,619240.2942,548102.6301,PUBLIC
2150,9fca2dff-f0ab-4917-b6c2-6b0adbc236fc,25,MONMOUTH,2720,Little Silver Boro School District,60,ELEMENTARY SCHOOL,Point Road School,Point Road Elementary School,623143.0246,547495.7359,PUBLIC
2151,b310195a-bb4d-4f24-8253-89471f6bd8db,25,MONMOUTH,2770,Long Branch Public School District,80,ELEMENTARY SCHOOL,Morris Avenue Elementry School,Morris Avenue Elementry School,633826.1436,533949.2227,PUBLIC
2152,545816d1-c81e-4afc-bdf2-d9e021a1f9c0,25,MONMOUTH,2770,Long Branch Public School District,110,ELEMENTARY SCHOOL,Gregory Elementary School,Gregory Elementary School,635008.9972,537092.5776,PUBLIC
2153,e093d9b8-0c61-4b52-8098-54de1763fbd8,25,MONMOUTH,2770,Long Branch Public School District,85,NURSERY/PRE-SCHOOL,Joseph M. Ferraina Early Childhood Learning Center,Joseph M. Ferraina Childhood Learning Center,636707.5909,540905.6776,PUBLIC
2154,2b954d4f-8406-423e-bb0b-e2eede098605,25,MONMOUTH,2770,Long Branch Public School District,120,ELEMENTARY SCHOOL,Lenna W. Conrow Elementary School,Lenna W. Conrow Elementary School,635927.2726,540692.201,PUBLIC
2155,df88023b-73d5-4c1d-91cc-e8c4a0ac8470,25,MONMOUTH,2770,Long Branch Public School District,50,FOUR-YEAR HIGH SCHOOL,Long Branch High School,Long Branch High School,634193.2321,530917.3557,PUBLIC
2156,e097a9b8-2009-4de8-a18b-87ec239f8f52,25,MONMOUTH,2770,Long Branch Public School District,60,MIDDLE SCHOOL,Long Branch Middle School,Long Branch Middle School,634369.1737,531810.2076,PUBLIC
2157,a4066d34-7d07-43c5-ade7-01018127a001,25,MONMOUTH,2920,Manalapan-Englishtown Regional School District,50,ELEMENTARY SCHOOL,Clark Mills School,Clark Mills Elementary School,534753.6961,535801.1455,PUBLIC
2158,4c8037dc-7b27-49af-b86d-880f3a45b56c,23,MIDDLESEX,5850,Woodbridge Township School District,110,ELEMENTARY SCHOOL,Robert Mascenik Elementary School,Robert Mascenik Elementary School,543514.1983,634319.4133,PUBLIC
2159,b0be3f50-6158-4c08-8119-9a319afa1283,23,MIDDLESEX,5850,Woodbridge Township School District,280,ELEMENTARY SCHOOL,Ross Street Elementary School,Ross Street Elementary School,552819.1698,627345.5434,PUBLIC
2160,71104f46-c2c6-4cce-b94a-f1129986e8cb,23,MIDDLESEX,5850,Woodbridge Township School District,320,ELEMENTARY SCHOOL,Woodbine Avenue Elementary School,Woodbine Avenue Elementary School,552493.9841,639481.1796,PUBLIC
2161,ed32276e-cf51-4cfe-b6c0-3a2b11f48dda,21,MERCER,1430,Ewing Township School District,140,ELEMENTARY SCHOOL,William L Antheil Elementary School,William L. Antheil Elementary School,417713.5096,524416.0761,PUBLIC
2162,a4a6d69f-7395-434e-810e-2055d27c66df,21,MERCER,1950,Hamilton Township Public School District,70,MIDDLE SCHOOL,Albert E Grice Middle School,Albert E. Grice Middle School,438483.3575,498667.2316,PUBLIC
2163,209a387a-9a89-402c-a0d0-869000bddb1a,21,MERCER,1950,Hamilton Township Public School District,85,ELEMENTARY SCHOOL,Alexander Elementary School,Alexander Elementary School,448899.8242,504195.3468,PUBLIC
2164,33f0d624-4eed-4440-8331-17210d6d9350,21,MERCER,1950,Hamilton Township Public School District,80,MIDDLE SCHOOL,Emily C. Reynolds Middle School,Emily C. Reynolds Middle School,446905.9105,504761.6085,PUBLIC
2165,79cbc827-1ea6-468e-bdfc-5af44c9d744b,21,MERCER,1950,Hamilton Township Public School District,105,ELEMENTARY SCHOOL,George E. Wilson Elementary School,George E. Wilson Elementary School,430447.737,497918.7928,PUBLIC
2166,793a7f94-3cfc-4a1c-8fe0-236c66f56ecf,21,MERCER,1950,Hamilton Township Public School District,110,ELEMENTARY SCHOOL,Greenwood Elementary School,Greenwood Elementary School,429653.8197,508803.9167,PUBLIC
2167,5cbd5281-3c7c-426f-8532-9cabac6a02f6,25,MONMOUTH,2920,Manalapan-Englishtown Regional School District,55,ELEMENTARY SCHOOL,Lafayette Mills School,Lafayette Mills Elementary School,549547.3387,534257.0741,PUBLIC
2168,8e7fe902-bb3e-4c54-b0f2-069d82f06088,25,MONMOUTH,2920,Manalapan-Englishtown Regional School District,60,MIDDLE SCHOOL,Manalapan-Englishtown Middle School,Manalapan-Englishtown Middle School,531976.8522,528668.8701,PUBLIC
2169,1fb02b26-aed7-4358-873b-afe59b760f36,25,MONMOUTH,2920,Manalapan-Englishtown Regional School District,63,ELEMENTARY SCHOOL,Milford Brook School,Milford Brook Elementary School,534080.8205,536714.5193,PUBLIC
2170,d7f5a9b5-acbf-44d8-8792-6003826a1b8a,25,MONMOUTH,2920,Manalapan-Englishtown Regional School District,75,ELEMENTARY SCHOOL,Pine Brook School,Pine Brook Elementary School,540592.0581,539892.2797,PUBLIC
2171,bfa09ba4-0a8a-4416-8700-3f134e18ad32,25,MONMOUTH,2920,Manalapan-Englishtown Regional School District,90,ELEMENTARY SCHOOL,Taylor Mills School,Taylor Mills Elementary School,535922.2676,535047.2001,PUBLIC
2172,5f2ad295-dd34-4b5f-b4c4-c30770a50749,25,MONMOUTH,2920,Manalapan-Englishtown Regional School District,110,ELEMENTARY SCHOOL,Wemrock Brook School,Wemrock Brook Elementary School,533730.751,528556.2364,PUBLIC
2173,d1b1426d-cfc4-4345-85a2-bec525a9329e,25,MONMOUTH,2930,Manasquan School District,60,ELEMENTARY SCHOOL,Manasquan Elementary School,Manasquan Elementary School,618521.1047,471740.9777,PUBLIC
2174,88f31657-a2d0-48ed-9bbc-a8aa5e9c3631,25,MONMOUTH,2930,Manasquan School District,50,FOUR-YEAR HIGH SCHOOL,Manasquan High School,Manasquan High School,618176.8573,471686.966,PUBLIC
2175,92ca6907-e61d-49a4-b553-794bf80e3f60,25,MONMOUTH,3030,Marlboro Township School District,70,ELEMENTARY SCHOOL,Asher Holmes Elementary School,Asher Holmes Elementary School,549574.942,550434.4479,PUBLIC
2176,aea28da7-d270-4fdd-ab2d-ad31dec26747,25,MONMOUTH,3030,Marlboro Township School District,30,ELEMENTARY SCHOOL,Frank Defino Central Elementary School,Frank Defino Central Elementary School,561835.3834,549044.2279,PUBLIC
2177,171cb1cc-da6d-4f10-a56d-0bff47345290,25,MONMOUTH,3030,Marlboro Township School District,40,ELEMENTARY SCHOOL,Frank J. Dugan Elementary School,Frank J. Dugan Elementary School,556257.7886,541266.8652,PUBLIC
2178,383b46cf-d102-4d9d-8831-7ac5f22a60c5,25,MONMOUTH,3030,Marlboro Township School District,45,ELEMENTARY SCHOOL,Marlboro Elementary School,Marlboro Elementary School,557707.3582,542573.1356,PUBLIC
2179,1391be1a-6272-4d14-838b-ed4e01feb0d3,25,MONMOUTH,3030,Marlboro Township School District,43,KINDERGARTEN SCHOOL,David C Abbott Early Learning Center,David C Abbott Early Learning Center,558327.1663,559323.3468,PUBLIC
2180,0ccaca78-42f9-4686-b14f-56a0a2b48938,25,MONMOUTH,3030,Marlboro Township School District,48,MIDDLE SCHOOL,Marlboro Memorial Middle School,Marlboro Memorial Middle School,568016.7119,564792.2857,PUBLIC
2181,aa9ad638-6d6a-4f1e-b8b9-ad48060ca2fa,25,MONMOUTH,3030,Marlboro Township School District,50,MIDDLE SCHOOL,Marlboro Middle School,Marlboro Middle School,557700.519,546423.0537,PUBLIC
2182,a7ead9ea-f11d-41a5-b445-1647a3bc0e67,25,MONMOUTH,3030,Marlboro Township School District,60,ELEMENTARY SCHOOL,Robertsville Elementary School,Robertsville Elementary School,549967.9248,550607.5342,PUBLIC
2183,e2c46e9b-4ffa-46e2-bf6d-62db2af94090,25,MONMOUTH,3040,Matawan-Aberdeen Regional School District,60,ELEMENTARY SCHOOL,Cliffwood Elementary School,Cliffwood Avenue Elementary School,567254.3542,584490.7938,PUBLIC
2184,d74901e7-5035-41be-b79e-28c3bfef9c06,25,MONMOUTH,3040,Matawan-Aberdeen Regional School District,65,ELEMENTARY SCHOOL,Lloyd Road Elementary School,Lloyd Road Elementary School,570498.3723,571389.6629,PUBLIC
2185,c1d2ea15-f8ad-4f46-b386-09fd368d8886,25,MONMOUTH,3040,Matawan-Aberdeen Regional School District,53,MIDDLE SCHOOL,Matawan-Aberdeen Middle School,Matawan Avenue Middle School,567273.0257,582748.295,PUBLIC
2186,b8a67559-f551-4fcc-8367-a52aff8060f3,25,MONMOUTH,3040,Matawan-Aberdeen Regional School District,50,FOUR-YEAR HIGH SCHOOL,Matawan Regional High School,Matawan Regional High School,569233.9112,574396.0378,PUBLIC
2187,16678537-fc80-4e75-8371-432de0d8766d,25,MONMOUTH,3040,Matawan-Aberdeen Regional School District,75,ELEMENTARY SCHOOL,Ravine Drive Elementary School,Ravine Drive Elementary School,563056.7825,578625.7823,PUBLIC
2188,f89f5414-e510-44fc-9c0c-aa6b56be7c9b,25,MONMOUTH,3040,Matawan-Aberdeen Regional School District,80,ELEMENTARY SCHOOL,Strathmore Elementary School,Strathmore Elementary School,571824.4986,572371.2692,PUBLIC
2189,1613462a-e20a-47cc-9190-f5fb62ede2e0,25,MONMOUTH,3160,Middletown Township Public School District,55,MIDDLE SCHOOL,Bayshore Middle School,Bayshore Middle School,615144.3001,575431.3152,PUBLIC
2190,305dc7c1-c557-4d6a-99dd-417d571de1f2,25,MONMOUTH,3160,Middletown Township Public School District,60,ELEMENTARY SCHOOL,Bayview Elementary School,Bayview Elementary School,607876.0397,575907.5256,PUBLIC
2191,3a75b5ec-ff5e-47f7-8ab0-df67b5f06bf4,25,MONMOUTH,3160,Middletown Township Public School District,90,ELEMENTARY SCHOOL,Fairview Elementary School,Fairview Elementary School,608060.139,560904.4667,PUBLIC
2192,100f39ba-2736-4a26-a2a7-ce90a49a4b13,25,MONMOUTH,3160,Middletown Township Public School District,95,ELEMENTARY SCHOOL,Harmony Elementary School,Harmony Elementary School,597704.2661,577123.4897,PUBLIC
2193,9b6066e2-c6f3-43e5-8b60-17132136d2e6,25,MONMOUTH,3160,Middletown Township Public School District,110,ELEMENTARY SCHOOL,Leonardo Elementary School,Leonardo Elementary School,614884.8993,575128.1452,PUBLIC
2194,628ec7f2-ff9e-4daa-8df9-5494f7253078,25,MONMOUTH,3160,Middletown Township Public School District,120,ELEMENTARY SCHOOL,Lincroft Elementary School,Lincroft Elementary School,596639.115,545364.4813,PUBLIC
2195,aa878dae-c41a-482c-9067-bf8a8a88d5d8,25,MONMOUTH,3160,Middletown Township Public School District,50,FOUR-YEAR HIGH SCHOOL,Middletown High School North,Middletown - North High School,603536.5382,571577.8735,PUBLIC
2196,d5844382-d918-4f17-8bdd-4e3a0fe48c04,25,MONMOUTH,3160,Middletown Township Public School District,53,FOUR-YEAR HIGH SCHOOL,Middletown High School South,Middletown - South High School,599294.4397,555193.8764,PUBLIC
2197,498559ac-7be6-4d54-ae2c-1e0a7b985309,25,MONMOUTH,3160,Middletown Township Public School District,130,ELEMENTARY SCHOOL,Middletown Village Elementary School,Middletown Village Elementary School,596962.6192,569799.1182,PUBLIC
2198,0bd2b0af-0e6f-4103-a324-d56659818fa9,25,MONMOUTH,3160,Middletown Township Public School District,140,ELEMENTARY SCHOOL,Navesink Elementary School,Navesink Elementary School,622696.5494,570962.9666,PUBLIC
2199,c025f9fc-737b-4b21-ab1e-f3fc124c7950,25,MONMOUTH,3160,Middletown Township Public School District,143,ELEMENTARY SCHOOL,New Monmouth Elementary School,New Monmouth Elementary School,601939.026,574038.0264,PUBLIC
2200,401bd60b-b376-4dbe-b889-d3bd8940bc18,25,MONMOUTH,3160,Middletown Township Public School District,145,ELEMENTARY SCHOOL,Nut Swamp Elementary School,Nut Swamp Elementary School,598757.4454,558535.0649,PUBLIC
2201,7c69d574-1ad8-4ae5-9cf3-ce3ee5fcfaf9,25,MONMOUTH,3160,Middletown Township Public School District,80,ELEMENTARY SCHOOL,Ocean Avenue Elementary School,Ocean Avenue Elementary School,598701.4071,583973.2066,PUBLIC
2202,7fda5b86-251a-4f17-870a-d886ba3d03e2,25,MONMOUTH,3160,Middletown Township Public School District,160,ELEMENTARY SCHOOL,River Plaza Elementary School,River Plaza Elementary School,607246.1148,554524.1307,PUBLIC
2203,6e25907c-433b-4834-a005-f123c56a1c9f,25,MONMOUTH,3160,Middletown Township Public School District,57,MIDDLE SCHOOL,Thompson Middle School,Thompson Middle School,598210.057,558908.5225,PUBLIC
2204,dabc9553-a385-456f-8b9b-c8c6ad3dfbd7,25,MONMOUTH,3160,Middletown Township Public School District,59,MIDDLE SCHOOL,Thorne Middle School,Thorne Middle School,598170.1864,578530.7205,PUBLIC
2205,4ea61c46-58f6-4da1-b895-46e901fc6155,25,MONMOUTH,3200,Millstone Township School District,60,ELEMENTARY SCHOOL,Millstone Township Elementary School,Millstone Township Elementary School,512218.0122,499541.572,PUBLIC
2206,e88423eb-661e-47a3-90e7-dbe90801b3cb,25,MONMOUTH,3200,Millstone Township School District,40,MIDDLE SCHOOL,Millstone Township Middle School,Millstone Township Middle School,521914.9649,512178.6698,PUBLIC
2207,6df2a3ee-45ce-4c1a-859f-d39b27d3ba44,25,MONMOUTH,3250,Monmouth Beach School District,50,ELEMENTARY SCHOOL,Monmouth Beach Elementary School,Monmouth Beach Elementary School,635879.1717,545549.9121,PUBLIC
2208,0748a075-ba8f-40d4-900d-d65cd2709099,25,MONMOUTH,3260,Monmouth County Vocational School District,4,COUNTY VOCATIONAL-TECHNICAL SCHOOL OR INSTITUTE,Communications High School,Communications High School,614477.4471,487040.3808,PUBLIC
2209,c38c24c4-45f0-40d9-86dc-d660ada45e5b,25,MONMOUTH,3260,Monmouth County Vocational School District,10,COUNTY VOCATIONAL-TECHNICAL SCHOOL OR INSTITUTE,High Technology High School,High Technology High School,595592.7316,543453.9245,PUBLIC
2210,9bafd930-7b7a-4d5b-b2d9-9d0949341cf3,25,MONMOUTH,3510,Neptune Township School District,50,FOUR-YEAR HIGH SCHOOL,Neptune High School,Neptune High School,621642.7644,502531.1169,PUBLIC
2211,265712f5-e201-4cfe-ad4e-deae56bf5568,25,MONMOUTH,3510,Neptune Township School District,55,MIDDLE SCHOOL,Neptune Middle School,Neptune Middle School,620631.4118,503073.1115,PUBLIC
2212,d9dacc26-d2bc-4db8-9ba0-bef0ec7bb485,25,MONMOUTH,3510,Neptune Township School District,80,ELEMENTARY SCHOOL,Midtown Community Elementary School,Midtown Community Elementary School,626290.0402,502152.7157,PUBLIC
2213,7b489b02-97cc-44d2-81b9-f6ae7798889f,25,MONMOUTH,3510,Neptune Township School District,90,ELEMENTARY SCHOOL,Shark River Hills Elementary School,Shark River Hills Elementary School,616581.6545,497251.4919,PUBLIC
2214,1494e496-fd55-4e81-a355-d493f741cacd,25,MONMOUTH,3510,Neptune Township School District,100,ELEMENTARY SCHOOL,Summerfiled Elementary School,Summerfield Elementary School,613284.0072,502377.7517,PUBLIC
2215,da84fd40-8936-43ae-b776-6e02073b5c07,25,MONMOUTH,3810,Township Of Ocean School District,60,ELEMENTARY SCHOOL,Ocean Township Elementary School,Ocean Township Elementary School,623644.9445,520978.412,PUBLIC
2216,b422d224-da84-4d98-861c-10f567d3fa83,25,MONMOUTH,3810,Township Of Ocean School District,30,FOUR-YEAR HIGH SCHOOL,Ocean Township High School,Ocean Township High School,622920.9715,522538.0897,PUBLIC
2217,b5aaa392-47ca-429e-b721-2dc0d339cc5d,25,MONMOUTH,3810,Township Of Ocean School District,40,GRADES 5-8,Township Of Ocean Intermediate School,Ocean Township Intermediate Middle School,614040.2265,520308.1558,PUBLIC
2218,1f953b5f-e2ae-4bb3-b7d6-5d6be94350a8,25,MONMOUTH,3810,Township Of Ocean School District,70,ELEMENTARY SCHOOL,Wanamassa Elementary School,Wanamassa Elementary School,624334.3407,512017.8614,PUBLIC
2219,372a4d55-8f3f-4fe4-bfb5-6570f7c81bdd,25,MONMOUTH,3810,Township Of Ocean School District,80,ELEMENTARY SCHOOL,Wayside Elementary School,Wayside Elementary School,611801.4564,517014.2966,PUBLIC
2220,3692bddc-a7f2-4e16-9b4d-cc8fa022dfd2,25,MONMOUTH,3830,Oceanport School District,30,MIDDLE SCHOOL,Maple  Place Middle School,Maple  Place Middle School,629237.533,541157.3582,PUBLIC
2221,5667a3c2-7ad2-4b10-adf2-8070f521ab4f,25,MONMOUTH,3830,Oceanport School District,50,ELEMENTARY SCHOOL,Wolf Hill School,Wolf Hill Elementary School,622303.3274,537173.3629,PUBLIC
2222,401ca711-32d7-4b8a-8203-0e456aecccf6,25,MONMOUTH,4360,Red Bank Borough Public School District,60,MIDDLE SCHOOL,Red Bank Middle School,Red Bank Middle School,614550.5765,551738.3183,PUBLIC
2223,07816abf-18fa-41c2-a463-8720ba22b34b,25,MONMOUTH,4360,Red Bank Borough Public School District,75,ELEMENTARY SCHOOL,Red Bank Primary School,Red Bank Primary,608394.5183,550272.7534,PUBLIC
2224,d8e78dd1-85e4-4cba-a377-ad241ee80a0e,25,MONMOUTH,4365,Red Bank Regional School District,50,FOUR-YEAR HIGH SCHOOL,Red Bank Regional High School,Red Bank Regional High School,620078.1432,552705.8643,PUBLIC
2225,9561b2e8-d876-487e-9f72-c98fb4f154d8,25,MONMOUTH,4520,Roosevelt Borough Public School District,50,ELEMENTARY SCHOOL,Roosevelt Public School,Roosevelt Public School,499064.816,504739.7932,PUBLIC
2226,6cdf1680-c175-4e4d-b3c2-bfce34c0d382,25,MONMOUTH,4570,Rumson Borough School District,40,ELEMENTARY SCHOOL,Deane-Porter Elementary School,Deane-Porter Elementary School,630219.8985,560372.5648,PUBLIC
2227,ca31801e-86b2-4631-8901-6ff84a8d09cd,25,MONMOUTH,4570,Rumson Borough School District,50,MIDDLE SCHOOL,Forrestdale School,Forrestdale Middle School,630674.5918,560744.071,PUBLIC
2228,a5409ac0-8753-441a-8e08-047a715bed16,25,MONMOUTH,4580,Rumson-Fair Haven Regional High School District,50,FOUR-YEAR HIGH SCHOOL,Rumson-Fair Haven Regional High School,Rumson-Fair Haven Reg. High School,631052.6531,559745.7013,PUBLIC
2229,b381cb00-dd82-443d-8fd4-1e7e93959649,25,MONMOUTH,4690,Sea Girt Borough School District,50,ELEMENTARY SCHOOL,Sea Girt Elementary School,Sea Girt Elementary School,620099.4985,473658.4617,PUBLIC
2230,571ccae4-9fdd-4830-ae73-cdb5b6b649e3,25,MONMOUTH,4760,Shore Regional High School District,50,FOUR-YEAR HIGH SCHOOL,Shore Regional High School,Shore Regional High School,625073.8435,532766.9993,PUBLIC
2231,8e4204fb-3288-4f14-8753-e3e8c9a8cb99,25,MONMOUTH,4770,Shrewsbury Borough School District,50,ELEMENTARY SCHOOL,Shrewsbury Borough Elementary School,Shrewsbury Elementary School,613819.9743,544844.3758,PUBLIC
2232,0747ca27-9c3e-4daa-a7d8-9f06c31c0199,25,MONMOUTH,4980,Spring Lake Borough,50,ELEMENTARY SCHOOL,H W Mountz Elementary School,H.W. Mountz Elementary School,623298.9927,482617.5996,PUBLIC
2233,dac7a6c0-e11f-4601-a7c1-cf4c06a3c0cd,25,MONMOUTH,4990,Spring Lake Heights School District,50,ELEMENTARY SCHOOL,Spring Lake Heights Elementary School,Spring Lake Heights Elementary School,621476.4035,481423.8133,PUBLIC
2234,c33e0003-e3b1-459d-9e65-98bb77c95cc3,25,MONMOUTH,5185,Tinton Falls School District,30,ELEMENTARY SCHOOL,Mahala F. Atchison School,Mahala F. Atchinson Elementary School,606233.8937,539996.7519,PUBLIC
2235,c602f33a-d8b2-4428-8486-77212e4b3a93,25,MONMOUTH,5185,Tinton Falls School District,50,ELEMENTARY SCHOOL,Swimming River School,Swimming River Elementary School,606679.3813,544001.1222,PUBLIC
2236,23a1143a-c7c4-4708-971b-b36a0a5e674f,17,HUDSON,2390,Jersey City Public Schools,160,ELEMENTARY SCHOOL,"Ollie Culbreth, Jr. School","Ollie Culbreth, Jr. School",609349.7884,685457.568,PUBLIC
2237,c375c661-6c6e-4471-8b57-a0890c27468f,17,HUDSON,2390,Jersey City Public Schools,190,ELEMENTARY SCHOOL,Dr. Maya Angelou Elementary School,Dr. May Angelou Elementary School,605925.2073,678986.3857,PUBLIC
2238,db00352f-2cf1-4a6d-ac9e-c81f23e7e351,17,HUDSON,2390,Jersey City Public Schools,200,ELEMENTARY SCHOOL,Rev. Dr. Ercel F. Webb School,Rev. Dr. Ercel F. Webb School,613582.9554,685263.7672,PUBLIC
2239,6dce0bf4-67ed-4703-9695-a635795f7b6b,23,MIDDLESEX,1290,Edison Township School District,60,MIDDLE SCHOOL,Thomas Jefferson Middle School,Thomas Jefferson Middle School,517429.3967,613006.5344,PUBLIC
2240,fc815f1f-5781-421b-b008-0193ab3187d9,23,MIDDLESEX,1290,Edison Township School District,150,ELEMENTARY SCHOOL,Washington Elementary School,Washington Elementary School,521394.0867,612923.2842,PUBLIC
2241,6b532e2e-7c81-4fdd-8c66-7562d63dcf00,23,MIDDLESEX,1290,Edison Township School District,160,ELEMENTARY SCHOOL,Woodbrook Elementary School,Woodbrook Elementary School,526066.7213,628050.3845,PUBLIC
2242,4e075773-5219-462c-b907-033468e0bf43,23,MIDDLESEX,1290,Edison Township School District,63,MIDDLE SCHOOL,Woodrow Wilson Middle School,Woodrow Wilson Middle School,526813.4111,626921.3711,PUBLIC
2243,b7a77168-9de1-4317-be1e-4ff6e0343996,23,MIDDLESEX,2150,Highland Park Boro School District,85,ELEMENTARY SCHOOL,Bartle Elementary School,Bartle Elementary School,513616.014,605662.848,PUBLIC
2244,8f8ed86d-157a-43ef-a2f6-bde9abdf41d1,23,MIDDLESEX,2150,Highland Park Boro School District,50,SIX-YEAR HIGH SCHOOL,Highland Park High School,Highland Park High School,512883.4524,607896.1936,PUBLIC
2245,5f6ab133-a023-412c-8ea4-94a222f5e4af,23,MIDDLESEX,2150,Highland Park Boro School District,70,ELEMENTARY SCHOOL,Irving Primary School,Irving Primary,515193.0512,607993.7442,PUBLIC
2246,84923766-db27-48c7-8212-9f74bd7233e8,23,MIDDLESEX,2370,Jamesburg Public School District,75,MIDDLE SCHOOL,Grace M. Breckwedel Middle School,Grace M. Breckwedel Middle School,509541.4161,553216.3925,PUBLIC
2247,ff67d316-536d-4064-adda-79f1a146d1f3,23,MIDDLESEX,2370,Jamesburg Public School District,80,ELEMENTARY SCHOOL,John F. Kennedy Elementary School,John F. Kennedy Elementary School,508251.3383,552169.5393,PUBLIC
2248,269f879a-8809-4f42-858f-fce68ce75385,23,MIDDLESEX,3120,Metuchen Public School District,60,ELEMENTARY SCHOOL,Campbell Elementary School,Campbell Elementary School,529700.1248,623354.7643,PUBLIC
2249,ac4ff766-bc57-4d6c-91d2-c51f34c19db4,23,MIDDLESEX,3120,Metuchen Public School District,70,MIDDLE SCHOOL,Edgar Middle School,Edgar Elementary School,530506.0451,618548.336,PUBLIC
2250,3e8e316a-e78a-407b-bc07-48eeaf2d7b0d,23,MIDDLESEX,3120,Metuchen Public School District,50,FOUR-YEAR HIGH SCHOOL,Metuchen High School,Metuchen High School,532519.4466,626666.6491,PUBLIC
2251,f7f732df-0968-4d84-ba1b-17ccfdaee26b,23,MIDDLESEX,3120,Metuchen Public School District,90,KINDERGARTEN SCHOOL,Mildred B. Moss Elementary School,Mildred B. Moss Elementary School,532283.3296,621090.258,PUBLIC
2252,2b3a42f4-2eb7-4390-84a7-ac3e0fc77042,23,MIDDLESEX,3140,Middlesex Borough School District,65,ELEMENTARY SCHOOL,Hazelwood Elementary School,Hazelwood Elementary School,487914.9226,634693.0307,PUBLIC
2253,803ff31d-f7bd-4272-adc4-ee01c9f4d383,23,MIDDLESEX,3140,Middlesex Borough School District,50,FOUR-YEAR HIGH SCHOOL,Middlesex High School,Middlesex High School,493721.4248,637145.3499,PUBLIC
2254,2e6fa65d-a704-4183-9b8a-3deadc2d749c,23,MIDDLESEX,3140,Middlesex Borough School District,70,ELEMENTARY SCHOOL,Parker Elementary School,Parker Elementary School,495392.0337,636533.4427,PUBLIC
2255,349a1220-c96b-409f-b239-e521bb7629ac,23,MIDDLESEX,3140,Middlesex Borough School District,85,MIDDLE SCHOOL,Von E. Mauger Middle School,Von E. Mauger Middle School,490110.4865,634490.1568,
2256,3a0e6388-37cd-4e50-8b39-056b2930ca5d,23,MIDDLESEX,3140,Middlesex Borough School District,90,ELEMENTARY SCHOOL,Watchung Elementary School,Watchung Elementary School,490084.9012,634036.9224,PUBLIC
2257,e69b6d48-3504-477a-a07f-c3306625be57,23,MIDDLESEX,3145,Educational Services Commission Of New Jersey,30,SPECIAL ELEMENTARY/SECONDARY SCHOOL FOR HANDICAPPED,Academy Learning Center,Academy Learning Center,517092.1737,553629.2014,PUBLIC
2258,fa5468f3-8662-4c34-a68b-29d457ec5cea,23,MIDDLESEX,3145,Educational Services Commission Of New Jersey,100,SPECIAL ELEMENTARY SCHOOL FOR HANDICAPPED,Bright Beginnings Learning Center,Bright Beginnings Learning Center,514487.924,618640.2157,PUBLIC
2259,6a482325-5e3b-4878-911c-85ce1a9b416e,19,HUNTERDON,2308,Hunterdon County Vocational School District,90,EVENING VOCATIONAL-TECHNICAL SCHOOL (APPROVED),Hunterdon County Vocational School District Adult School,HCVSD Adult and Continuing Education,394023.1869,619581.1882,PUBLIC
2260,c251f69c-16da-4cf5-b0f6-1a23d68b5f33,19,HUNTERDON,2308,Hunterdon County Vocational School District,50,COUNTY VOCATIONAL-TECHNICAL SCHOOL OR INSTITUTE,Hunterdon County Vocational School District Central Campus,Hunterdon Polytech Central Campus,394906.9633,613159.8503,PUBLIC
2261,08673fd6-966c-474f-9af1-e42902a5dd3d,19,HUNTERDON,2450,Kingwood Township School District,50,ELEMENTARY SCHOOL,Kingwood Township School,Kingwood Township Elementary School,349691.3966,609691.561,PUBLIC
2262,c3b290b6-7f77-405c-82e5-38187b8dce28,23,MIDDLESEX,3145,Educational Services Commission Of New Jersey,6,SPECIAL ELEMENTARY/SECONDARY SCHOOL FOR HANDICAPPED,Piscataway Regional Day School,N.J. Regional Day School - Piscataway,514483.6369,618339.0296,PUBLIC
2263,e22c540b-f52f-41c6-8808-9db5ed7f69c9,23,MIDDLESEX,3150,Middlesex County Vocational And Technical School District,10,COUNTY VOCATIONAL-TECHNICAL SCHOOL OR INSTITUTE,Edison Academy Magnet School,"Middlesex County Academy for Science, Math & Engineering Technologies",528386.4352,608731.643,PUBLIC
2264,8543604d-5581-41ae-ab02-74de0c57696e,23,MIDDLESEX,3150,Middlesex County Vocational And Technical School District,60,COUNTY VOCATIONAL-TECHNICAL HIGH SCHOOL,Perth Amboy Magnet School,Perth Amboy Technical High School,558144.9833,612225.6747,PUBLIC
2265,cbbb047f-6aa6-451d-be74-de0c39813aba,23,MIDDLESEX,3150,Middlesex County Vocational And Technical School District,70,COUNTY VOCATIONAL-TECHNICAL SCHOOL OR INSTITUTE,Woodbridge Academy Magnet School,Academy for Allied Health and Biomedical Sciences,553703.9305,621828.0259,PUBLIC
2266,35193e3a-be1c-40d1-8041-123342a3d904,23,MIDDLESEX,3220,Milltown School District,50,ELEMENTARY SCHOOL,Joyce Kilmer School,Joyce Kilmer Elementary School,508683.7007,589500.5315,PUBLIC
2267,e486b268-c69a-404d-8d80-f4c9f73d30c5,23,MIDDLESEX,3220,Milltown School District,60,ELEMENTARY SCHOOL,Parkview  School,Parkview Elementary School,511360.0355,588983.4433,PUBLIC
